"","smiles","drugbank_id","prestwick_ID"
"67","[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2","DB00273","Prestw-1493"
"68","[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O","DB00274","Prestw-700"
"69","CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O","DB00275","Prestw-1190"
"70","CN1C2=C(NC=N2)C(=O)N(C)C1=O","DB00277","Prestw-873"
"71","C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2","DB00278","Prestw-1228"
"72","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O","DB00279","Prestw-853"
"73","CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C","DB00280","Prestw-266"
"74","CCN(CC)CC(=O)NC1=C(C)C=CC=C1C","DB00281","Prestw-50"
"75","CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","DB00283","Prestw-306"
"76","[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O","DB00284","Prestw-1174"
"77","COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1","DB00285","Prestw-1170"
"78","[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","DB00288","Prestw-1476"
"79","OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","DB00291","Prestw-1079"
"80","CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1","DB00292","Prestw-1041"
"81","CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C","DB00297","Prestw-305"
"82","NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2","DB00299","Prestw-1488"
"83","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O","DB00301","Prestw-1011"
"84","NC[C@H]1CC[C@@H](CC1)C(O)=O","DB00302","Prestw-171"
"85","CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1","DB00308","Prestw-1508"
"86","NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12","DB00310","Prestw-351"
"87","CCCC(C)C1(CC)C(=O)NC(=O)NC1=O","DB00312","Prestw-1491"
"88","CCCC(CCC)C(O)=O","DB00313","Prestw-1482"
"89","CC(=O)NC1=CC=C(O)C=C1","DB00316","Prestw-868"
"90","COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1","DB00317","Prestw-1270"
"91","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O","DB00319","Prestw-755"
"92","[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O","DB00320","Prestw-150"
"93","CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12","DB00321","Prestw-74"
"94","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O","DB00322","Prestw-1415"
"95","[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C","DB00324","Prestw-718"
"96","COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O","DB00328","Prestw-272"
"97","CC[C@@H](CO)NCCN[C@@H](CC)CO","DB00330","Prestw-28"
"98","CN(C)C(=N)NC(N)=N","DB00331","Prestw-4"
"99","CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2","DB00334","Prestw-1455"
"100","CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1","DB00335","Prestw-536"
"101","NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O","DB00336","Prestw-492"
"102","COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C","DB00338","Prestw-493"
"103","NC(=O)C1=NC=CN=C1","DB00339","Prestw-514"
"104","CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1","DB00340","Prestw-491"
"105","OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","DB00341","Prestw-503"
"106","CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1","DB00342","Prestw-138"
"107","COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O","DB00343","Prestw-134"
"108","CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12","DB00344","Prestw-930"
"109","NC1=CC=C(C=C1)C(=O)NCC(O)=O","DB00345","Prestw-895"
"110","COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1","DB00346","Prestw-322"
"111","CN1C(=O)OC(C)(C)C1=O","DB00347","Prestw-515"
"112","NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1","DB00350","Prestw-20"
"113","[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C","DB00351","Prestw-956"
"114","NC1=NC(=S)C2=C(N1)N=CN2","DB00352","Prestw-347"
"115","[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO","DB00353","Prestw-374"
"116","C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O","DB00355","Prestw-185"
"117","ClC1=CC2=C(OC(=O)N2)C=C1","DB00356","Prestw-163"
"118","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1","DB00357","Prestw-244"
"119","OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F","DB00358","Prestw-126"
"120","NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1","DB00359","Prestw-23"
"121","CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12","DB00363","Prestw-350"
"122","CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1","DB00366","Prestw-27"
"123","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]","DB00367","Prestw-773"
"124","CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1","DB00370","Prestw-1144"
"125","CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1","DB00372","Prestw-1068"
"126","[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1","DB00373","Prestw-948"
"127","OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1","DB00376","Prestw-701"
"128","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C","DB00378","Prestw-671"
"129","CC(N)COC1=C(C)C=CC=C1C","DB00379","Prestw-241"
"130","CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC","DB00381","Prestw-1219"
"131","NC1=C2CCCCC2=NC2=CC=CC=C12","DB00382","Prestw-329"
"132","NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1","DB00384","Prestw-34"
"133","OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1","DB00387","Prestw-844"
"134","CCOC(=O)N1C=CN(C)C1=S","DB00389","Prestw-439"
"135","[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1","DB00390","Prestw-437"
"136","CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O","DB00391","Prestw-56"
"137","CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12","DB00392","Prestw-840"
"138","COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C","DB00393","Prestw-918"
"139","[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","DB00394","Prestw-855"
"140","CCCC(C)(COC(N)=O)COC(=O)NC(C)C","DB00395","Prestw-423"
"141","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","DB00396","Prestw-477"
"142","[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1","DB00397","Prestw-324"
"143","COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC","DB00400","Prestw-226"
"144","COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C","DB00401","Prestw-666"
"145","CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2","DB00408","Prestw-132"
"146","CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC","DB00409","Prestw-971"
"147","C[N+](C)(C)CCOC(N)=O","DB00411","Prestw-880"
"148","CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1","DB00412","Prestw-1337"
"149","CCCN[C@H]1CCC2=C(C1)SC(N)=N2","DB00413","Prestw-1316"
"150","CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1","DB00414","Prestw-55"
"151","[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O","DB00415","Prestw-114"
"152","CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12","DB00420","Prestw-693"
"153","[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O","DB00421","Prestw-128"
"154","COC1=C(OCC(O)COC(N)=O)C=CC=C1","DB00423","Prestw-184"
"155","CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1","DB00424","Prestw-233"
"156","CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O","DB00426","Prestw-1249"
"157","CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1","DB00427","Prestw-262"
"158","CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","DB00428","Prestw-732"
"159","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F","DB00432","Prestw-1056"
"160","CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1","DB00433","Prestw-399"
"161","CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12","DB00434","Prestw-103"
"162","NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F","DB00436","Prestw-784"
"163","OC1=NC=NC2=C1C=NN2","DB00437","Prestw-1213"
"164","[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1","DB00438","Prestw-489"
"165","COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC","DB00440","Prestw-208"
"166","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F","DB00441","Prestw-1266"
"167","[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C","DB00443","Prestw-362"
"168","OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O","DB00446","Prestw-31"
"169","N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1","DB00447","Prestw-1431"
"170","CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1","DB00448","Prestw-1072"
"171","CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1","DB00449","Prestw-632"
"172","FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12","DB00450","Prestw-360"
"173","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","DB00451","Prestw-403"
"174","CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2","DB00455","Prestw-1432"
"175","[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C(O)=O","DB00456","Prestw-719"
"176","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1","DB00457","Prestw-947"
"177","CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12","DB00458","Prestw-72"
"178","COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1","DB00459","Prestw-1165"
"179","COC(=O)CCC1=C2NC(\C=C3/N=C(/C=C4\N\C(=C/C5=N/C(=C\2)/C(CCC(O)=O)=C5C)C(C=C)=C4C)C2=CC=C([C@@H](C(=O)OC)[C@@]32C)C(=O)OC)=C1C","DB00460","Prestw-1105"
"180","COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2","DB00461","Prestw-909"
"181","OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1","DB00465","Prestw-929"
"182","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1","DB00467","Prestw-1401"
"183","CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O","DB00469","Prestw-527"
"184","OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1","DB00471","Prestw-1189"
"185","CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1","DB00472","Prestw-511"
"186","CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1","DB00473","Prestw-788"
